"network","es"
"RetrosplenialTemporal",-0.14798754129504
"RetrosplenialTemporal",-0.0977695213849743
"RetrosplenialTemporal",-0.0870687824695789
"RetrosplenialTemporal",-0.0757669217872119
"RetrosplenialTemporal",-0.0388191953063202
"RetrosplenialTemporal",-0.171839870406755
"RetrosplenialTemporal",-0.107691816256267
"RetrosplenialTemporal",-0.0653927378729593
"RetrosplenialTemporal",-0.0632214177459756
"RetrosplenialTemporal",-0.0501824244894449
"RetrosplenialTemporal",-0.462478131147726
"RetrosplenialTemporal",-0.417661638510217
"RetrosplenialTemporal",-0.432138890066803
"RetrosplenialTemporal",-0.444571269814479
"RetrosplenialTemporal",-0.427369267742842
"RetrosplenialTemporal",-0.366802773629851
"RetrosplenialTemporal",-0.302560101197054
"RetrosplenialTemporal",-0.485568291483619
"RetrosplenialTemporal",-0.492505399005536
"RetrosplenialTemporal",-0.467806816359644
"RetrosplenialTemporal",-0.462333739640821
"RetrosplenialTemporal",-0.521083019768596
"RetrosplenialTemporal",-0.540935353372411
"RetrosplenialTemporal",-0.536401246056318
"RetrosplenialTemporal",-0.581434917584725
"RetrosplenialTemporal",-0.61359918216702
"RetrosplenialTemporal",-0.608667263027425
"RetrosplenialTemporal",-0.58825461303994
"RetrosplenialTemporal",-0.529135017924426
"RetrosplenialTemporal",-0.492430699249897
"RetrosplenialTemporal",-0.483564449928503
"RetrosplenialTemporal",-0.474768811698522
"RetrosplenialTemporal",-0.438071805832578
"RetrosplenialTemporal",-0.349102859023903
"RetrosplenialTemporal",-0.260119573650846
"RetrosplenialTemporal",-0.504811465909507
"RetrosplenialTemporal",-0.478355914773461
"RetrosplenialTemporal",-0.499883910967715
"RetrosplenialTemporal",-0.541144087833753
"RetrosplenialTemporal",-0.59577341935283
"RetrosplenialTemporal",-0.597990217229339
"RetrosplenialTemporal",-0.609626042318171
"RetrosplenialTemporal",-0.630840757963582
"RetrosplenialTemporal",-0.610911470787321
"RetrosplenialTemporal",-0.590326688769476
"RetrosplenialTemporal",-0.545579062651584
"RetrosplenialTemporal",-0.4865052481245
"RetrosplenialTemporal",-0.458885414091811
"RetrosplenialTemporal",-0.420660917815154
"RetrosplenialTemporal",-0.356176937667869
"RetrosplenialTemporal",-0.288401252452904
"RetrosplenialTemporal",-0.22022116194823
"RetrosplenialTemporal",-0.155404356711374
"RetrosplenialTemporal",-0.578227309353274
"RetrosplenialTemporal",-0.56707035060435
"RetrosplenialTemporal",-0.573775547027478
"RetrosplenialTemporal",-0.615362749667979
"RetrosplenialTemporal",-0.639581870731176
"RetrosplenialTemporal",-0.625582170981544
"RetrosplenialTemporal",-0.623649995976533
"RetrosplenialTemporal",-0.601765728000522
"RetrosplenialTemporal",-0.561624788658622
"RetrosplenialTemporal",-0.525607196839996
"RetrosplenialTemporal",-0.470747161739673
"RetrosplenialTemporal",-0.415593045888456
"RetrosplenialTemporal",-0.363090963014861
"RetrosplenialTemporal",-0.28831434282278
"RetrosplenialTemporal",-0.21891707769751
"RetrosplenialTemporal",-0.174869475669907
"RetrosplenialTemporal",-0.147923788849843
